Title,Company,Date posted,Valid until,Education requirements,Standardized Work Position,Actual Position Name,Seniority,Technology,Location,Online Interview,Accepts Students,Work from Home
Data Analyst,Playstudios International Europe,2023-12-29,2024-01-29,Visoka škola ili Bachelor / Viša,IT Analyst,Data Analyst,intermediate,"SQL, Python, R",Beograd | Hibrid,True,False,False
"Analyst, SAP Continuous Improvements",Magna Seating d.o.o.,2024-01-16,2024-02-16,Visoka škola ili Bachelor / Viša,ERP/SAP/ABAP Consultant,"Analyst, SAP Continuous Improvements",intermediate,SAP,Beograd | Hibrid,False,False,False
Cyber Threat Intelligence Analyst,Strabag BRVZ d.o.o.,2023-12-27,2024-01-27,Visoka škola ili Bachelor / Viša,Security Expert,Cyber Threat Intelligence Analyst,intermediate,Cloud,Zagreb | Belgrade,False,False,False
PHP Backend Developer,ch-aviation solutions d.o.o.,2024-01-16,2024-02-16,Visoka škola ili Bachelor / Viša,PHP Developer,PHP Backend Developer,intermediate,"PHP, SQL, Git",Beograd | Hibrid,False,False,False
Medior Analytics Engineer,Robert Bosch d.o.o.,2024-01-17,2024-02-02,Visoka škola ili Bachelor / Viša,Saradnik u oblasti analize,Medior Analytics Engineer,intermediate,"SQL, Python, MS SQL",Beograd | Hibrid,False,False,False
Senior Automation QA Engineer,Accordia Group,2024-01-22,2024-02-22,Visoka škola ili Bachelor / Viša,Automation QA Engineer,Senior Automation QA Engineer,senior,"SQL, Linux, Java, Git, QA, Windows, TeamCity",Beograd | Niš,False,False,False
Data Analyst,Nitka Technologies,2024-01-15,2024-02-15,Visoka škola ili Bachelor / Viša,Saradnik u oblasti analize,Data Analyst,intermediate,N/A,Rad od kuće,False,False,True
Data Analyst,Eneba,2023-12-06,2024-02-05,Visoka škola ili Bachelor / Viša,Saradnik u oblasti analize,Data Analyst,intermediate,"SQL, Python, R",Rad od kuće,False,False,True
Data Analyst,Maids.cc,2023-11-16,2024-02-15,Visoka škola ili Bachelor / Viša,IT Analyst,Data Analyst,intermediate,"MySQL, SQL",Rad od kuće,False,False,True
Data Analyst,Qwertify,2023-09-21,2024-02-19,Visoka škola ili Bachelor / Viša,IT Analyst,Data Analyst,intermediate,Python,Beograd,True,False,False
"Staff Data Analyst, R&D",Mural,2023-12-28,2024-01-28,Visoka škola ili Bachelor / Viša,Saradnik u oblasti analize,"Staff Data Analyst, R&D",senior,SQL,Rad od kuće,False,False,True
Lead Generation & Data Analyst,Atlas Analytics,2023-10-17,2024-02-15,Visoka škola ili Bachelor / Viša,IT Analyst,Lead Generation & Data Analyst,junior,N/A,Rad od kuće,False,False,True
Data Architect,Tremend Software Consulting,2023-12-20,2024-02-19,Visoka škola ili Bachelor / Viša,Data Warehouse / Business Intelligence Developer,Data Architect,intermediate,"NoSQL, Python, AWS, Azure, Kafka",Rad od kuće,False,False,True
Data Engineer,Showwcase - ELITE,2023-09-25,2024-01-24,Visoka škola ili Bachelor / Viša,Data Warehouse / Business Intelligence Developer,Data Engineer,senior,"SQL, Python, Cloud",Rad od kuće,False,False,True
Senior Data Engineer,CobbleWeb Ltd,2023-10-26,2024-01-25,Visoka škola ili Bachelor / Viša,Data Warehouse / Business Intelligence Developer,Senior Data Engineer,senior,"SQL, NoSQL, Python, AWS, Cloud",Rad od kuće,False,False,True
Business Analyst,Maids.cc,2023-11-16,2024-02-15,Visoka škola ili Bachelor / Viša,Poslovni analitičar,Business Analyst,junior,N/A,Rad od kuće,False,False,True
Power BI Analyst,Ansio d.o.o.,2020-11-05,2024-02-08,Visoka škola ili Bachelor / Viša,IT Analyst,Power BI Analyst,intermediate,N/A,Belgrade,False,False,False
Business Analyst,Speed and Function,2023-10-24,2024-02-22,Visoka škola ili Bachelor / Viša,Poslovni analitičar,Business Analyst,intermediate,Jira,Rad od kuće,False,False,True
IT Business Analyst,Tremend Software Consulting,2023-12-20,2024-02-19,Visoka škola ili Bachelor / Viša,IT Analyst,IT Business Analyst,intermediate,UML,Rad od kuće,False,False,True
QA Analyst,Clevertech,2023-05-16,2024-02-10,Visoka škola ili Bachelor / Viša,Automation QA Engineer,QA Analyst,intermediate,QA,Remote,False,False,True
System Senior Analyst,Luxoft d.o.o.,2024-01-15,2024-02-15,Visoka škola ili Bachelor / Viša,IT Analyst,System Senior Analyst,senior,"SQL, XML, JSON, UML, REST, SCRUM, HTTP",Rad od kuće,True,False,True
"Blockchain Operations, Technical Analyst",Chainlink Labs,2024-01-15,2024-02-15,Visoka škola ili Bachelor / Viša,IT Analyst,"Blockchain Operations, Technical Analyst",intermediate,"Linux, Git, Agile",Rad od kuće,False,False,True
Sr. Security Operations Analyst,Alpaca,2024-01-16,2024-02-16,Visoka škola ili Bachelor / Viša,Security Expert,Sr. Security Operations Analyst,senior,"IPS, Cloud",Rad od kuće,False,False,True
Digital Business Analyst,CobbleWeb Ltd,2023-10-26,2024-01-25,Visoka škola ili Bachelor / Viša,Poslovni analitičar,Digital Business Analyst,senior,"Jira, Confluence, Agile",Rad od kuće,False,False,True
Senior QA Analyst,Euronet Services d.o.o.,2022-09-26,2024-02-19,Visoka škola ili Bachelor / Viša,Automation QA Engineer,Senior QA Analyst,senior,"C#, SQL, REST, QA, Cloud, Agile, Cypress",Beograd,False,False,False
"Senior Operations Analyst, Customer Success",Mural,2023-11-27,2024-01-27,Visoka škola ili Bachelor / Viša,IT Analyst,"Senior Operations Analyst, Customer Success",senior,SaaS,Rad od kuće,False,False,True
Software Implementation and QA Analyst,Euronet Services d.o.o.,2023-11-30,2024-01-30,Visoka škola ili Bachelor / Viša,IT Analyst,Software Implementation and QA Analyst,intermediate,"SQL, RDBMS",Beograd | Hibrid,False,False,False
Analytics Engineer,Metabase,2023-10-31,2024-01-30,Visoka škola ili Bachelor / Viša,IT Analyst,Analytics Engineer,senior,SQL,Rad od kuće,False,False,True
ELITE - Analytics Engineer,Showwcase - ELITE,2023-12-18,2024-02-17,Visoka škola ili Bachelor / Viša,Data Warehouse / Business Intelligence Developer,ELITE - Analytics Engineer,senior,"SQL, Java, Python, AWS, Azure, Scala, Cloud, Agile",Rad od kuće,False,False,True
